#:Data_list: 20190707_Gp_pchan_5m.txt
#:Created: 2019 Jul 08 0011 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Label: P1 = Protons from 0.7 -   4 MeV units #/cm2-s-sr-MeV
# Label: P2 = Protons from   4 -   9 MeV units #/cm2-s-sr-MeV
# Label: P3 = Protons from   9 -  15 MeV units #/cm2-s-sr-MeV
# Label: P4 = Protons from  15 -  40 MeV units #/cm2-s-sr-MeV
# Label: P5 = Protons from  38 -  82 MeV units #/cm2-s-sr-MeV
# Label: P6 = Protons from  84 - 200 MeV units #/cm2-s-sr-MeV
# Label: P7 = Protons from 110 - 900 MeV units #/cm2-s-sr-MeV
# Label: P8 = Protons from 350 - 420 MeV units #/cm2-s-sr-MeV
# Label: P9 = Protons from 420 - 510 MeV units #/cm2-s-sr-MeV
# Label: P10= Protons from 510 - 700 MeV units #/cm2-s-sr-MeV
# Label: P11= Protons from      >700 MeV units #/cm2-s-sr-MeV
# Source: GOES-15
# Location: W128
# Missing data: -1.00e+05
#
#                                        5-minute  GOES-15 Energetic Proton Flux Channels
#
#                 Modified Seconds
# UTC Date  Time   Julian  of the
# YR MO DA  HHMM    Day     Day      P1        P2        P3        P4        P5        P6        P7        P8        P9       P10       P11
#---------------------------------------------------------------------------------------------------------------------------------------------
2019 07 07  0000   58671      0  1.22e+01  1.69e-01  4.69e-02  1.38e-02  1.59e-02  6.20e-03  3.14e-03  3.70e-03  1.90e-03  8.09e-04  2.05e-04
2019 07 07  0005   58671    300  1.08e+01  2.06e-01  3.75e-02  1.38e-02  1.75e-02  4.64e-03  3.28e-03  3.75e-03  1.45e-03  4.89e-04  2.45e-04
2019 07 07  0010   58671    600  1.02e+01  2.06e-01  1.41e-01  1.31e-02  1.69e-02  5.45e-03  3.09e-03  4.34e-03  1.81e-03  8.09e-04  2.42e-04
2019 07 07  0015   58671    900  1.12e+01  1.69e-01  9.38e-02  1.58e-02  1.42e-02  6.10e-03  3.16e-03  2.89e-03  1.76e-03  6.21e-04  1.83e-04
2019 07 07  0020   58671   1200  1.05e+01  1.45e-01  4.69e-02  1.31e-02  1.99e-02  5.93e-03  3.06e-03  3.07e-03  1.58e-03  6.78e-04  2.18e-04
2019 07 07  0025   58671   1500  1.03e+01  1.57e-01  5.63e-02  1.38e-02  1.99e-02  5.12e-03  3.21e-03  3.93e-03  1.40e-03  6.21e-04  2.61e-04
2019 07 07  0030   58671   1800  1.04e+01  7.26e-02  7.50e-02  1.38e-02  2.12e-02  5.79e-03  3.35e-03  3.88e-03  1.67e-03  7.53e-04  2.28e-04
2019 07 07  0035   58671   2100  8.69e+00  1.57e-01  2.81e-02  1.77e-02  1.91e-02  5.22e-03  3.05e-03  3.97e-03  1.81e-03  7.72e-04  2.30e-04
2019 07 07  0040   58671   2400  9.02e+00  1.33e-01  6.57e-02  8.54e-03  2.22e-02  5.86e-03  3.08e-03  3.16e-03  1.81e-03  6.21e-04  2.20e-04
2019 07 07  0045   58671   2700  9.63e+00  1.33e-01  1.88e-02  1.71e-02  2.12e-02  5.86e-03  3.39e-03  3.12e-03  1.36e-03  6.40e-04  1.87e-04
2019 07 07  0050   58671   3000  8.17e+00  8.47e-02  7.50e-02  1.25e-02  2.08e-02  5.22e-03  3.00e-03  2.98e-03  1.85e-03  1.02e-03  2.01e-04
2019 07 07  0055   58671   3300  8.63e+00  8.47e-02  8.44e-02  7.88e-03  1.81e-02  5.18e-03  2.84e-03  4.11e-03  1.54e-03  7.53e-04  2.16e-04
2019 07 07  0100   58671   3600  8.18e+00  7.26e-02  8.44e-02  1.58e-02  1.91e-02  5.39e-03  3.20e-03  3.75e-03  1.08e-03  8.09e-04  2.32e-04
2019 07 07  0105   58671   3900  8.24e+00  1.33e-01  5.63e-02  5.91e-03  2.38e-02  5.28e-03  3.20e-03  4.29e-03  1.76e-03  6.96e-04  2.55e-04
2019 07 07  0110   58671   4200  7.44e+00  7.26e-02  5.63e-02  8.54e-03  1.97e-02  5.45e-03  2.77e-03  3.70e-03  1.72e-03  8.66e-04  2.36e-04
2019 07 07  0115   58671   4500  7.22e+00  9.68e-02  2.81e-02  7.88e-03  1.97e-02  6.33e-03  2.76e-03  3.61e-03  1.45e-03  5.08e-04  2.49e-04
2019 07 07  0120   58671   4800  6.47e+00  9.68e-02  9.38e-02  1.05e-02  1.81e-02  5.45e-03  3.10e-03  3.34e-03  1.67e-03  7.34e-04  2.26e-04
2019 07 07  0125   58671   5100  7.95e+00  1.45e-01  6.57e-02  5.91e-03  1.79e-02  5.12e-03  3.31e-03  3.39e-03  1.90e-03  7.34e-04  2.55e-04
2019 07 07  0130   58671   5400  7.19e+00  1.33e-01  1.03e-01  5.91e-03  1.73e-02  5.89e-03  2.93e-03  3.12e-03  1.72e-03  5.65e-04  2.49e-04
2019 07 07  0135   58671   5700  7.61e+00  9.68e-02  5.63e-02  1.64e-02  1.93e-02  5.18e-03  2.87e-03  3.93e-03  1.45e-03  6.21e-04  2.59e-04
2019 07 07  0140   58671   6000  6.82e+00  1.09e-01  6.57e-02  9.20e-03  2.16e-02  5.59e-03  2.72e-03  4.16e-03  1.49e-03  8.09e-04  2.38e-04
2019 07 07  0145   58671   6300  7.12e+00  1.69e-01  5.63e-02  9.20e-03  2.03e-02  5.56e-03  3.03e-03  2.94e-03  1.49e-03  7.15e-04  2.16e-04
2019 07 07  0150   58671   6600  7.15e+00  1.57e-01  6.57e-02  8.54e-03  2.28e-02  5.28e-03  2.48e-03  4.02e-03  1.76e-03  9.22e-04  2.32e-04
2019 07 07  0155   58671   6900  5.97e+00  1.57e-01  1.03e-01  8.54e-03  2.20e-02  5.45e-03  2.88e-03  2.62e-03  1.54e-03  6.40e-04  2.22e-04
2019 07 07  0200   58671   7200  6.19e+00  1.09e-01  4.69e-02  9.20e-03  2.14e-02  5.69e-03  3.23e-03  3.84e-03  1.72e-03  5.46e-04  2.28e-04
2019 07 07  0205   58671   7500  5.60e+00  7.26e-02  5.63e-02  1.05e-02  1.55e-02  5.32e-03  3.01e-03  3.70e-03  1.13e-03  6.78e-04  2.40e-04
2019 07 07  0210   58671   7800  5.44e+00  9.68e-02  7.50e-02  7.23e-03  1.73e-02  5.45e-03  2.91e-03  3.43e-03  1.36e-03  6.40e-04  2.47e-04
2019 07 07  0215   58671   8100  5.54e+00  1.09e-01  3.75e-02  8.54e-03  1.99e-02  5.56e-03  3.14e-03  3.70e-03  1.94e-03  5.65e-04  2.18e-04
2019 07 07  0220   58671   8400  5.04e+00  1.57e-01  9.38e-02  9.20e-03  1.85e-02  5.79e-03  3.05e-03  3.88e-03  2.03e-03  5.83e-04  2.47e-04
2019 07 07  0225   58671   8700  4.80e+00  1.09e-01  5.63e-02  1.18e-02  2.01e-02  5.52e-03  3.04e-03  3.66e-03  1.36e-03  7.34e-04  1.99e-04
2019 07 07  0230   58671   9000  3.91e+00  7.26e-02  7.50e-02  1.12e-02  1.65e-02  5.39e-03  3.59e-03  3.66e-03  1.58e-03  5.08e-04  2.08e-04
