#:Data_list: 20190701_Gp_pchan_5m.txt
#:Created: 2019 Jul 02 0011 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Label: P1 = Protons from 0.7 -   4 MeV units #/cm2-s-sr-MeV
# Label: P2 = Protons from   4 -   9 MeV units #/cm2-s-sr-MeV
# Label: P3 = Protons from   9 -  15 MeV units #/cm2-s-sr-MeV
# Label: P4 = Protons from  15 -  40 MeV units #/cm2-s-sr-MeV
# Label: P5 = Protons from  38 -  82 MeV units #/cm2-s-sr-MeV
# Label: P6 = Protons from  84 - 200 MeV units #/cm2-s-sr-MeV
# Label: P7 = Protons from 110 - 900 MeV units #/cm2-s-sr-MeV
# Label: P8 = Protons from 350 - 420 MeV units #/cm2-s-sr-MeV
# Label: P9 = Protons from 420 - 510 MeV units #/cm2-s-sr-MeV
# Label: P10= Protons from 510 - 700 MeV units #/cm2-s-sr-MeV
# Label: P11= Protons from      >700 MeV units #/cm2-s-sr-MeV
# Source: GOES-15
# Location: W128
# Missing data: -1.00e+05
#
#                                        5-minute  GOES-15 Energetic Proton Flux Channels
#
#                 Modified Seconds
# UTC Date  Time   Julian  of the
# YR MO DA  HHMM    Day     Day      P1        P2        P3        P4        P5        P6        P7        P8        P9       P10       P11
#---------------------------------------------------------------------------------------------------------------------------------------------
2019 07 01  0000   58665      0  1.30e+01  9.68e-02  3.75e-02  1.38e-02  2.32e-02  5.15e-03  3.38e-03  2.48e-03  1.63e-03  6.96e-04  1.66e-04
2019 07 01  0005   58665    300  1.22e+01  8.47e-02  6.57e-02  1.31e-02  1.95e-02  5.15e-03  3.09e-03  3.79e-03  1.81e-03  7.34e-04  1.81e-04
2019 07 01  0010   58665    600  1.27e+01  7.26e-02  3.75e-02  1.97e-02  2.05e-02  5.22e-03  3.11e-03  3.61e-03  9.49e-04  7.53e-04  2.24e-04
2019 07 01  0015   58665    900  1.25e+01  1.33e-01  7.50e-02  1.71e-02  1.69e-02  5.59e-03  3.01e-03  2.53e-03  1.54e-03  8.28e-04  2.38e-04
2019 07 01  0020   58665   1200  1.25e+01  1.69e-01  4.69e-02  1.25e-02  1.93e-02  5.49e-03  3.29e-03  3.21e-03  1.67e-03  5.83e-04  2.22e-04
2019 07 01  0025   58665   1500  1.06e+01  9.68e-02  5.63e-02  1.25e-02  1.61e-02  5.86e-03  3.20e-03  3.25e-03  1.63e-03  7.90e-04  2.38e-04
2019 07 01  0030   58665   1800  1.00e+01  1.45e-01  4.69e-02  1.64e-02  1.71e-02  5.79e-03  3.29e-03  4.02e-03  1.58e-03  7.34e-04  2.06e-04
2019 07 01  0035   58665   2100  7.82e+00  9.68e-02  7.50e-02  1.71e-02  2.30e-02  6.13e-03  2.94e-03  3.25e-03  1.49e-03  6.40e-04  2.32e-04
2019 07 01  0040   58665   2400  7.47e+00  1.81e-01  7.50e-02  1.12e-02  1.95e-02  5.83e-03  3.12e-03  3.16e-03  1.26e-03  9.41e-04  2.22e-04
2019 07 01  0045   58665   2700  5.86e+00  6.05e-02  5.63e-02  7.88e-03  1.81e-02  6.27e-03  3.13e-03  4.47e-03  1.26e-03  7.90e-04  2.40e-04
2019 07 01  0050   58665   3000  4.09e+00  1.33e-01  9.38e-02  1.25e-02  2.16e-02  5.01e-03  3.01e-03  2.53e-03  1.31e-03  8.28e-04  2.45e-04
2019 07 01  0055   58665   3300  2.37e+00  1.09e-01  4.69e-02  2.04e-02  1.83e-02  5.83e-03  2.68e-03  3.43e-03  1.31e-03  8.09e-04  2.10e-04
2019 07 01  0100   58665   3600  2.64e+00  1.09e-01  7.50e-02  8.54e-03  1.67e-02  6.61e-03  3.04e-03  2.62e-03  1.85e-03  6.59e-04  2.40e-04
2019 07 01  0105   58665   3900  2.19e+00  4.84e-02  9.38e-02  9.20e-03  2.07e-02  4.71e-03  2.80e-03  3.43e-03  2.03e-03  7.72e-04  1.91e-04
2019 07 01  0110   58665   4200  1.98e+00  1.21e-01  3.75e-02  9.86e-03  1.97e-02  5.62e-03  3.04e-03  3.12e-03  1.40e-03  7.15e-04  2.03e-04
2019 07 01  0115   58665   4500  1.93e+00  7.26e-02  6.57e-02  1.91e-02  1.91e-02  6.00e-03  3.22e-03  3.61e-03  1.54e-03  7.72e-04  2.51e-04
2019 07 01  0120   58665   4800  1.76e+00  8.47e-02  4.69e-02  1.25e-02  1.69e-02  5.35e-03  2.95e-03  2.57e-03  1.76e-03  9.03e-04  2.18e-04
2019 07 01  0125   58665   5100  1.91e+00  7.26e-02  8.44e-02  1.25e-02  1.83e-02  5.89e-03  3.12e-03  4.16e-03  1.54e-03  6.40e-04  2.16e-04
2019 07 01  0130   58665   5400  1.45e+00  7.26e-02  6.57e-02  1.12e-02  1.69e-02  4.74e-03  3.11e-03  3.16e-03  1.36e-03  7.90e-04  2.63e-04
2019 07 01  0135   58665   5700  8.67e-01  2.18e-01  4.69e-02  1.38e-02  1.87e-02  5.76e-03  2.91e-03  3.48e-03  1.54e-03  5.08e-04  2.40e-04
